School Name,Misconduct Num,School Police Num,Number of Offenders,Truancy Rate,Female Offenders,Male Offenders,Charter or Public,Address,Address_Upper,City,City_Upper,State,Zip
Gateway MS,42,1,35,11.64,14,21,Public,4450 Old William Penn Hwy,4450 OLD WILLIAM PENN HWY, Monroeville, MONROEVILLE,PA,15146
Gateway SHS,90,5,72,14.49,18,54,Public,3000 Gateway Campus Blvd,3000 GATEWAY CAMPUS BLVD, Monroeville, MONROEVILLE,PA,15146
Mosside MS,45,1,35,8.02,13,22,Public,9000 Gateway Campus Blvd,9000 GATEWAY CAMPUS BLVD, Monroeville, MONROEVILLE,PA,15146
Ramsey ES,9,1,8,6.58,2,6,Public,2200 Ramsey Rd,2200 RAMSEY RD, Monroeville, MONROEVILLE,PA,15146
University Park ES,1,1,1,3.18,0,1,Public,320 Noel Dr,320 NOEL DR, Monroeville, MONROEVILLE,PA,15146
Central ES,7,0,5,3.46,1,4,Public,4100 Middle Rd,4100 MIDDLE RD, Allison Park, ALLISON PARK,PA,15101
Hampton High School,8,0,7,2.37,4,3,Public,2929 McCully Rd,2929 MCCULLY RD, Allison Park, ALLISON PARK,PA,15101
Hampton Middle School,0,0,0,1.28,0,0,Public,4589 School Dr,4589 SCHOOL DR, Allison Park, ALLISON PARK,PA,15101
Poff Elementary School,0,0,0,0.34,0,0,Public,2990 Haberlein Rd,2990 HABERLEIN RD, Gibsonia, GIBSONIA,PA,15044
Wyland Elementary,0,0,0,7.71,0,0,Public,2284 Wyland Ave,2284 WYLAND AVE, Allison Park, ALLISON PARK,PA,15101
Grandview Upper Elementary,0,2,0,24.81,0,0,Public,101 E 9th Ave,101 E 9TH AVE, Tarentum, TARENTUM,PA,15084
Highlands MS,10,3,10,26.89,6,4,Public,1350 Broadview Blvd,1350 BROADVIEW BLVD, Natrona Heights, NATRONA HEIGHTS,PA,15065
Highlands SHS,40,5,43,39.47,11,32,Public,1500 Pacific Ave,1500 PACIFIC AVE, Natrona Heights, NATRONA HEIGHTS,PA,15065
